M;T;%Error Sin Optimización;%Error Con Optimización
100;2;1.55;0.7
500;2;5.7;1.9
1000;2;8;2.3
2000;2;10.2;4.8
5000;2;23.15;10.9
10000;2;40.45;13.25
100;4;11.5;10.05
500;4;16;12.1
1000;4;25.5;13.05
2000;4;39.9;16.65
5000;4;63.5;27.95
10000;4;80.45;47.75
100;8;10.5;9.25
500;8;15;12.6
1000;8;18.65;12.35
2000;8;24.95;15.05
5000;8;50.15;18.8
10000;8;77.65;29.65
100;16;3.45;3.1
500;16;6.2;4.25
1000;16;9.9;3.45
2000;16;13;5.75
5000;16;30.05;10.5
10000;16;59.8;17.25
100;32;2;2.75
500;32;4.85;2.45
1000;32;7.4;4.1
2000;32;9.75;3.5
5000;32;20.55;7.5
10000;32;38.6;10.2
100;64;1.05;1.4
500;64;2.8;2.4
1000;64;4.5;1.9
2000;64;4.95;2.75
5000;64;13.1;4.2
10000;64;24.35;6.7
